date,value,series
2024-11-01,159288,Non-Farm Workers
2024-10-01,159061,Non-Farm Workers
2024-09-01,159025,Non-Farm Workers
2024-08-01,158770,Non-Farm Workers
2024-07-01,158692,Non-Farm Workers
2024-06-01,158548,Non-Farm Workers
2024-05-01,158430,Non-Farm Workers
2024-04-01,158214,Non-Farm Workers
2024-03-01,158106,Non-Farm Workers
2024-02-01,157796,Non-Farm Workers
2024-01-01,157560,Non-Farm Workers
2023-12-01,157304,Non-Farm Workers
2023-11-01,157014,Non-Farm Workers
2023-10-01,156832,Non-Farm Workers
2023-09-01,156667,Non-Farm Workers
2023-08-01,156421,Non-Farm Workers
2023-07-01,156211,Non-Farm Workers
2023-06-01,156027,Non-Farm Workers
2023-05-01,155787,Non-Farm Workers
2023-04-01,155484,Non-Farm Workers
2023-03-01,155206,Non-Farm Workers
2023-02-01,155060,Non-Farm Workers
2023-01-01,154773,Non-Farm Workers
2024-11-01,4.2,Unemployment Rate
2024-10-01,4.1,Unemployment Rate
2024-09-01,4.1,Unemployment Rate
2024-08-01,4.2,Unemployment Rate
2024-07-01,4.3,Unemployment Rate
2024-06-01,4.1,Unemployment Rate
2024-05-01,4.0,Unemployment Rate
2024-04-01,3.9,Unemployment Rate
2024-03-01,3.8,Unemployment Rate
2024-02-01,3.9,Unemployment Rate
2024-01-01,3.7,Unemployment Rate
2023-12-01,3.7,Unemployment Rate
2023-11-01,3.7,Unemployment Rate
2023-10-01,3.8,Unemployment Rate
2023-09-01,3.8,Unemployment Rate
2023-08-01,3.8,Unemployment Rate
2023-07-01,3.5,Unemployment Rate
2023-06-01,3.6,Unemployment Rate
2023-05-01,3.7,Unemployment Rate
2023-04-01,3.4,Unemployment Rate
2023-03-01,3.5,Unemployment Rate
2023-02-01,3.6,Unemployment Rate
2023-01-01,3.4,Unemployment Rate
2024-11-01,168286,Civilian Labor Force
2024-10-01,168479,Civilian Labor Force
2024-09-01,168699,Civilian Labor Force
2024-08-01,168549,Civilian Labor Force
2024-07-01,168429,Civilian Labor Force
2024-06-01,168009,Civilian Labor Force
2024-05-01,167732,Civilian Labor Force
2024-04-01,167982,Civilian Labor Force
2024-03-01,167895,Civilian Labor Force
2024-02-01,167426,Civilian Labor Force
2024-01-01,167276,Civilian Labor Force
2023-12-01,167451,Civilian Labor Force
2023-11-01,168127,Civilian Labor Force
2023-10-01,167723,Civilian Labor Force
2023-09-01,167897,Civilian Labor Force
2023-08-01,167840,Civilian Labor Force
2023-07-01,167113,Civilian Labor Force
2023-06-01,167000,Civilian Labor Force
2023-05-01,166823,Civilian Labor Force
2023-04-01,166678,Civilian Labor Force
2023-03-01,166690,Civilian Labor Force
2023-02-01,166263,Civilian Labor Force
2023-01-01,165871,Civilian Labor Force
2024-11-01,161141,Civilian Employment
2024-10-01,161496,Civilian Employment
2024-09-01,161864,Civilian Employment
2024-08-01,161434,Civilian Employment
2024-07-01,161266,Civilian Employment
2024-06-01,161199,Civilian Employment
2024-05-01,161083,Civilian Employment
2024-04-01,161491,Civilian Employment
2024-03-01,161466,Civilian Employment
2024-02-01,160968,Civilian Employment
2024-01-01,161152,Civilian Employment
2023-12-01,161183,Civilian Employment
2023-11-01,161866,Civilian Employment
2023-10-01,161280,Civilian Employment
2023-09-01,161550,Civilian Employment
2023-08-01,161500,Civilian Employment
2023-07-01,161209,Civilian Employment
2023-06-01,161004,Civilian Employment
2023-05-01,160707,Civilian Employment
2023-04-01,160962,Civilian Employment
2023-03-01,160824,Civilian Employment
2023-02-01,160301,Civilian Employment
2023-01-01,160152,Civilian Employment
2024-11-01,7145,Civilian Unemployment
2024-10-01,6984,Civilian Unemployment
2024-09-01,6834,Civilian Unemployment
2024-08-01,7115,Civilian Unemployment
2024-07-01,7163,Civilian Unemployment
2024-06-01,6811,Civilian Unemployment
2024-05-01,6649,Civilian Unemployment
2024-04-01,6492,Civilian Unemployment
2024-03-01,6429,Civilian Unemployment
2024-02-01,6458,Civilian Unemployment
2024-01-01,6124,Civilian Unemployment
2023-12-01,6268,Civilian Unemployment
2023-11-01,6262,Civilian Unemployment
2023-10-01,6443,Civilian Unemployment
2023-09-01,6347,Civilian Unemployment
2023-08-01,6340,Civilian Unemployment
2023-07-01,5904,Civilian Unemployment
2023-06-01,5997,Civilian Unemployment
2023-05-01,6117,Civilian Unemployment
2023-04-01,5715,Civilian Unemployment
2023-03-01,5866,Civilian Unemployment
2023-02-01,5962,Civilian Unemployment
2023-01-01,5719,Civilian Unemployment
